id,survey_medium,date,start,end,v1_sex,v2_gen  ,v3_hokkaido,v3_hokkaido_resi,v3_not_hokkaido_resi,v4_hokkaido_visits,v5_companions_cnt,v6_kaminoko_visits,v7_scenery_satisfaction,v7_access_satisfaction,v7_facility_satisfaction,v7_tourist_spot_satisfaction,v7_general_satisfaction,v8_bid1_100,v8_bid1_300,v8_bid1_500,v8_bid1_1000,v8_bid1_yes_bid2_300,v8_bid1_no_bid2_50,8_bid1_yes_bid2_500,v8_bid1_no_bid2_100,8_bid1_yes_bid2_1000,v8_bid1_no_bid2_300,8_bid1_yes_bid2_1500,v8_bid1_no_bid2_500,v8_reason  ,v9_forest_road_entrance_confusing,v9_forest_road_too_narrow,v9_forest_road_rough_surface,v10_toilet_use_intention,v11_dirty_toilet,v11_toilet_odor,v11_no_handwashing_facility,v11_japanese_style_toilet,v11_unisex_toilet,v12_critical_access_attitude,v12_critical_parking_attitude,v12_critical_crowd_attitude,v12_critical_shop_attitude,v12_critical_photospot_attitude
1,紙,6月13日午後,,,2,2,1,釧路,,,4,1,9,10,9,8,10,,,,0,,,,,,,,0,1人なら払えるが、行くなら複数人であるため負担が大きくなる,5,2,2,2,2,2,2,2,2,5,6,3,5,6
2,紙,6月13日午後,,,2,6,1,,,,4,1,9,8,6,4,9,,1,,,,,0,,,,,,3,4,4,4,2,4,3,4,4,4,4,4,3,4,4
3,紙,6月13日午後,,,2,2,2,,兵庫,1,5,1,9,7,8,8,8,1,,,,1,,,,,,,,,5,3,2,1,4,4,3,2,2,7,6,3,7,6
4,紙,6月13日午後,,,2,2,2,,東京都,3,5,1,10,8,4,10,8,,1,,,,,0,,,,,,,7,2,1,1,2,2,2,1,1,4,4,3,4,4
5,紙,6月13日午後,,,2,2,2,,大阪府,6,4,1,10,8,6,3,10,,,,1,,,,,,,0,,,2,1,1,2,1,1,1,2,1,7,7,3,7,7
6,紙,6月13日午後,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,紙,6月13日午後,,,2,2,2,,東京,4,5,1,8,5,3,8,6,1,,,,0,,,,,,,,3,5,3,2,4,4,4,3,3,3,5,5,2,4,3
8,紙,6月13日午後,,,2,2,2,,大阪,3,5,1,8,5,6,6,7,1,,,,1,,,,,,,,,5,3,1,2,3,3,3,1,1,2,5,6,2,2
9,紙,6月13日午後,,,1,4,1,（読めない）,,,1,1,10,3,3,6,8,,,,0,,,,,,,,1,,1,1,2,2,2,3,3,3,3,2,3,3,3,3
10,紙,6月13日午後,,,2,6,2,,東京,3,2,1,10,9,6,6,10,,1,,,,,0,,,,,,3,3,3,3,4,4,3,4,4,4,5,3,3,3,6
11,紙,6月13日午後,,,1,6,2,,東京都,4,2,1,8,6,,8,8,,1,,,,,0,,,,,,4,5,3,3,4,,,,,,6,6,3,3,5
12,紙,6月13日午後,,,2,3,2,,東京都,1,2,1,10,9,10,,10,,,,0,,,,,,,,1,,3,3,3,4,3,4,4,5,6,5,5,3,5,5
13,紙,6月13日午後,,,2,3,2,,神奈川県,1,2,1,10,8,9,,10,,,1,,,,,,0,,,,,5,5,4,4,3,3,2,2,4,4,6,4,4,4
14,紙,6月13日午後,,,1,3,2,,長崎,2,2,1,9,6,5,8,9,,,1,,,,,,1,,,,,3,3,2,1,3,5,3,3,2,5,5,2,4,4
15,紙,6月13日午後,,,1,6,2,,長崎,3,1,1,9,3,1,5,8,1,,,,1,,,,,,,,,5,3,2,3,1,1,1,1,1,5,5,3,3,5
