# 変数整理表_2026調査

| 変数名                            | 概要                                                         | 調査票バージョン | 備考                                                         |
| --------------------------------- | ------------------------------------------------------------ | ---------------- | ------------------------------------------------------------ |
| ID                                | データ管理のために振り直した整理番号                         |                  |                                                              |
| date                              | 調査実施日<br />6月13日午後                                  |                  | 6月13日午後はプレ調査という位置づけ                          |
| survey_medium                     | 調査票の媒体。紙かタブレットの2種類                          |                  |                                                              |
| v1_sex                            | 性別：男性、女性                                             |                  |                                                              |
| v2_gen                            | 世代：10代〜70代以上                                         |                  |                                                              |
| v3_hokkaido                       | yes = 1, no  = 0                                             |                  |                                                              |
| v3_hokkaido_resi                  | 道内居住者の具体的な居住地                                   |                  | 自由記述                                                     |
| v3_not_hokkaido_resi              | 道外居住者の具体的な居住地                                   |                  | 自由記述                                                     |
| v4_hokkaido_visits                | 北海道訪問回数  <br />はじめて<br />2回目<br />3回目<br />4回目以上（回） |                  | 紙調査票の場合、4回目以上選択者で具体的な回数を記入していない人は、保守的に見積もって「4回目」としておく |
| v5_companions_cnt                 | 同行者の人数  <br />1人<br />2人<br />3人<br />4人<br />5人以上（人） |                  | 紙調査票の場合、5人以上選択者で具体的な人数を記入していない人は、保守的に見積もって「5人」としておく |
| v6_kaminoko_visits                | 神の子訪問回数<br />はじめて<br />2回目<br />3回目以上（回） |                  | 紙調査票の場合、3回目以上選択者で具体的な回数を記入していない人は、保守的に見積もって「3回目」としておく |
| v7_scenery_satisfaction           | 景色の美しさや自然体験への満足度：10段階  <br />             |                  |                                                              |
| v7_access_satisfaction            | 池へのアクセスへの満足度：   10段階                          |                  |                                                              |
| v7_facility_satisfaction          | 設備へ満足度：10段階                                         |                  |                                                              |
| v7_tourist_spot_satisfaction      | 周辺観光スポットの充実度へ満足度：10段階                     |                  |                                                              |
| v7_general_satisfaction           | 観光地としての神の子池に対する総合的な満足度：10段階         |                  |                                                              |
| v8_bid1_100                       | 初回提示額100円での支払い賛否<br />支払う = 1<br />支払わない = 0 |                  |                                                              |
