"v7","n"
NA,214
"【未回答】;",42
"今回の同行者の提案;",36
"インターネットの口コミ（Xなど）を見て;",32
"今回の同行者の提案",25
"同行者以外からの話を聞いて",14
"【未回答】",13
"旅行雑誌・ガイドブックを見て;",11
"同行者以外からの話をいい手;",9
"旅行雑誌・ガイドブックを見て",7
"インターネットの口コミ（Xなど）を見て",6
"同行者以外からの話を聞いて;",6
"未回答;",6
"インターネットの口コミ（Xなど）を見て;旅行雑誌・ガイドブックを見て",4
"清里町・観光協会のWebサイトを見て;インターネットの口コミ（Xなど）を見て;",4
"テレビの旅番組・情報番組を見て",3
"清里町・観光協会のWebサイトを見て",3
"清里町・観光協会のWebサイトを見て;",3
"清里町・観光協会以外のWebサイトを見て;",3
"Facebook;",2
"インターネットの口コミ（Xなど）を見て;同行者以外からの話を聞いて;",2
"インターネットの口コミ（Xなど）を見て;旅行雑誌・ガイドブックを見て;",2
"清里町・観光協会以外のWebサイトを見て",2
"通りがかり;",2
"SNS;",1
"　",1
"お客様案内;",1
"その他(ネット);",1
"とおりがかりで;",1
"もともと知っていた",1
"インターネットの口コミ（Xなど）を見て;テレビの旅番組・情報番組を見て",1
"インターネットの口コミ（Xなど）を見て;テレビの旅番組・情報番組を見て;旅行会社の紹介（パンフレットも含む）;",1
"インターネットの口コミ（Xなど）を見て;今回の同行者の提案;",1
"インターネットの口コミ（Xなど）を見て;旅行雑誌・ガイドブックを見て;今回の同行者の提案;",1
"インターネットの口コミ（Xなど）を見て;旅行雑誌・ガイドブックを見て;同行者以外からの話を聞いて",1
"グーグルマップ;",1
"グーグルマップを見て以前から気になっていた",1
"テレビの旅番組・情報番組を見て;",1
"前々から知っていた。初めての人をドライブに誘った;",1
"前回美しかったから;",1
"友人から",1
"友人の紹介;",1
"同伴;",1
"同行者以外からの話を聞いて;友人;",1
"摩周湖で看板を見て;",1
"旅行雑誌やガイドブックを見て",1
"旅行雑誌・ガイドブックを見て;今回の同行者の提案;",1
"清里町・観光協会のWebサイトを見て;インターネットの口コミ（Xなど）を見て",1
"清里町・観光協会のWebサイトを見て;インターネットの口コミ（Xなど）を見て;テレビの旅番組・情報番組を見て",1
"清里町・観光協会のWebサイトを見て;インターネットの口コミ（Xなど）を見て;同行者以外から話を聞いて;",1
"清里町・観光協会のWebサイトを見て;インターネットの口コミ（Xなど）を見て;旅行雑誌・ガイドブックを見て;今回の同行者の提案;",1
"清里町・観光協会のWebサイトを見て;テレビの旅番組・情報番組を見て;インターネットの口コミ（Xなど）を見て;",1
"清里町・観光協会のWebサイトを見て;今回の同行者の提案",1
"清里町・観光協会以外のWebサイトを見て;インターネットの口コミ（Xなど）を見て;",1
"清里町・観光協会以外のWebサイトを見て;今回の同行者の提案;",1
"道外からの親戚のアランド;",1
"道路の看板を見て;",1
"２０年前に来た",1
